source_model	table	field	ordinal	description_cn
CoA_Chongqin_2015	AC_SYS	AC_SYS_ID	1	ID
CoA_Chongqin_2015	AC_SYS	NAME	2	名字
CoA_Chongqin_2015	AC_SYS	OF_STOREY	3	所属楼层
CoA_Chongqin_2015	AC_SYS	OF_BUILDING	4	所属建筑(方便结果浏览程序)
CoA_Chongqin_2015	AC_SYS	SUPPLY_T_MIN	5	最小送风温度ID， 对应SCHEDULE_YEAR中的SCHEDULE_ID
CoA_Chongqin_2015	AC_SYS	SUPPLY_T_MAX	6	最大送风温度ID， 对应SCHEDULE_YEAR中的SCHEDULE_ID
CoA_Chongqin_2015	AC_SYS	WATER_TYPE	7	0无水管，1 只有热水（两管制），2 只有冷水（两管制），3 冷热水（四管制）， 4 两管制（冷热切换）
CoA_Chongqin_2015	AC_SYS	AC_SYS_TYPE	8	0 全空气定风量， 1 全空气变风量，2 风机盘管，3 独立空调,4 干式风机盘管,5 独立除湿新风机组,6 变制冷剂流量空调系统
CoA_Chongqin_2015	AC_SYS	FRESH_AIR_TYPE	9	0 定新风比（用最小新风比），1：以新风比范围限制新风 2：定新风量(此时用最小新风量），3：以新风量范围定限制新风
CoA_Chongqin_2015	AC_SYS	MIN_FRESH_AIR_RATIO	10	最小新风比
CoA_Chongqin_2015	AC_SYS	MAX_FRESH_AIR_RATIO	11	最大新风比
CoA_Chongqin_2015	AC_SYS	MIN_FRESH_AIR_VOLUME	12	最小新风量
CoA_Chongqin_2015	AC_SYS	MAX_FRESH_AIR_VOLUME	13	最大新风量
CoA_Chongqin_2015	AC_SYS	SUPPLY_STATE_FLAG	14	变送风状态标志.0: dest Decide; 1:user defined
CoA_Chongqin_2015	AC_SYS	USER_DEF_SUPPLY_T	15	用户自定义的逐时的送风温度，对应SCHEDULE_YEAR表中一个SCHEDULE
CoA_Chongqin_2015	AC_SYS	USER_DEF_SUPPLY_D	16	用户自定义的逐时的送风含湿量，对应SCHEDULE_YEAR表中一个SCHEDULE
CoA_Chongqin_2015	AC_SYS	FRESH_AIR_OUTSIDE	17	对应OUSIDE表中的一条记录，新风来源
CoA_Chongqin_2015	AC_SYS	VIEW_COOL_LOAD	18	结果浏览界面的选项，是否显示此曲线
CoA_Chongqin_2015	AC_SYS	VIEW_HEAT_LOAD	19	结果浏览界面的选项，是否显示此曲线
CoA_Chongqin_2015	AC_SYS	VIEW_HUMI_LOAD	20	结果浏览界面的选项，是否显示此曲线
CoA_Chongqin_2015	AC_SYS	VIEW_FLOW	21	结果浏览界面的选项，是否显示此曲线
CoA_Chongqin_2015	AC_SYS	VIEW_FRESH_AIR_RATIO	22	结果浏览界面的选项，是否显示此曲线
CoA_Chongqin_2015	AC_SYS	X	23	图中DNAHU插入点的X坐标
CoA_Chongqin_2015	AC_SYS	Y	24	图中DNAHU插入点的Y坐标
CoA_Chongqin_2015	AC_SYS	Z	25	图中DNAHU插入点的Z坐标
CoA_Chongqin_2015	AC_SYS	EXT_PROPERTY	26	扩展属性(扩展属性编号,对应EXT_PROPERTY表)
CoA_Chongqin_2015	AHU	AHU_ID	1	ID
CoA_Chongqin_2015	AHU	NAME	2	名字
CoA_Chongqin_2015	AHU	OF_AC_SYS	3	所属系统的ID
CoA_Chongqin_2015	AHU	TYPE	4	类型（待定)
